V_in,V_real,V_theoretical,V_output,omega_1,omega_2,time
60.0000,56.0000,56.3403,327,20.38,5.24,0.300
56.0000,57.0000,56.6217,332,20.38,5.24,0.308
51.0000,56.0000,56.5796,331,20.38,5.22,0.315
46.0000,56.0000,56.1506,328,20.38,5.22,0.323
43.0000,55.0000,55.4644,325,20.38,5.22,0.330
42.0000,54.0000,54.6217,319,20.38,5.26,0.337
36.0000,54.0000,53.6513,313,20.38,5.22,0.345
35.0000,52.0000,52.2942,309,20.38,5.24,0.353
33.0000,51.0000,51.1250,302,20.38,5.24,0.360
32.0000,50.0000,49.7315,294,20.38,5.24,0.368
29.0000,49.0000,48.5327,290,20.38,5.22,0.375
29.0000,48.0000,47.2122,283,20.38,5.22,0.382
32.0000,47.0000,45.6447,276,20.40,5.24,0.391
31.0000,46.0000,44.7222,273,20.38,5.20,0.398
35.0000,45.0000,43.7945,267,20.38,5.22,0.405
40.0000,44.0000,43.1184,262,20.40,5.24,0.413
34.0000,44.0000,42.9076,264,20.38,5.12,0.420
44.0000,45.0000,42.3053,259,20.38,5.20,0.427
50.0000,44.0000,42.4512,259,20.34,5.22,0.436
58.0000,44.0000,42.9615,264,20.38,5.22,0.443
65.0000,47.0000,43.9782,269,20.38,5.24,0.450
68.0000,47.0000,45.5945,275,20.34,5.24,0.458
78.0000,48.0000,47.1092,288,20.38,5.24,0.465
84.0000,52.0000,49.1976,297,20.38,5.24,0.472
88.0000,53.0000,52.1930,308,20.34,5.24,0.481
95.0000,55.0000,54.6138,326,20.38,5.22,0.488
101.0000,59.0000,57.3442,338,20.38,5.22,0.495
104.0000,61.0000,60.7006,363,20.34,5.22,0.503
112.0000,63.0000,63.6279,372,20.38,5.24,0.510
116.0000,67.0000,67.7912,388,20.38,5.22,0.519
119.0000,69.0000,71.0505,412,20.38,5.22,0.526
122.0000,72.0000,74.2922,426,20.38,5.22,0.533
125.0000,76.0000,77.9601,440,20.40,5.24,0.541
122.0000,79.0000,81.1402,463,20.38,5.18,0.548
126.0000,84.0000,84.2817,474,20.38,5.24,0.556
124.0000,84.0000,87.4892,503,20.38,5.22,0.564
122.0000,86.0000,89.9575,506,20.40,5.22,0.571
120.0000,89.0000,92.4211,514,20.38,5.22,0.579
118.0000,91.0000,94.2856,530,20.38,5.22,0.586
114.0000,94.0000,95.8888,536,20.38,5.22,0.593
114.0000,94.0000,97.2813,553,20.34,5.22,0.601
107.0000,94.0000,98.5667,551,20.38,5.24,0.609
101.0000,95.0000,99.2151,550,20.38,5.22,0.617
97.0000,95.0000,99.3357,557,20.38,5.22,0.624
92.0000,95.0000,99.1778,554,20.38,5.22,0.631
88.0000,95.0000,98.6260,551,20.38,5.22,0.639
83.0000,95.0000,97.8090,552,20.38,5.22,0.647
80.0000,93.0000,96.8078,544,20.38,5.24,0.654
76.0000,93.0000,95.5156,538,20.38,5.22,0.662
72.0000,92.0000,94.1962,536,20.38,5.18,0.669
71.0000,90.0000,92.6956,527,20.38,5.24,0.676
69.0000,90.0000,91.0275,517,20.38,5.24,0.684
68.0000,88.0000,89.3340,513,20.38,5.24,0.692
68.0000,86.0000,87.8917,505,20.38,5.24,0.699
68.0000,86.0000,86.3623,497,20.38,5.24,0.707
69.0000,85.0000,85.1209,494,20.38,5.24,0.714
71.0000,83.0000,84.0311,488,20.38,5.24,0.721
75.0000,83.0000,83.0292,481,20.40,5.24,0.729
77.0000,82.0000,82.4119,482,20.38,5.24,0.737
81.0000,83.0000,82.0460,478,20.38,5.22,0.744
83.0000,82.0000,81.9656,477,20.36,5.24,0.752
89.0000,82.0000,82.0355,480,20.38,5.24,0.759
93.0000,84.0000,82.5064,482,20.38,5.24,0.766
97.0000,84.0000,83.4095,491,20.36,5.24,0.775
104.0000,84.0000,84.3283,494,20.38,5.22,0.782
108.0000,87.0000,85.8408,499,20.38,5.24,0.790
111.0000,88.0000,87.3389,514,20.38,5.26,0.797
116.0000,89.0000,88.9385,518,20.38,5.22,0.804
120.0000,91.0000,91.0191,526,20.38,5.22,0.812
122.0000,92.0000,93.2473,542,20.38,5.24,0.820
125.0000,96.0000,95.1911,549,20.38,5.22,0.827
125.0000,97.0000,97.4830,570,20.34,5.22,0.835
126.0000,98.0000,99.3433,573,20.38,5.24,0.842
128.0000,101.0000,101.3927,579,20.38,5.20,0.850
125.0000,102.0000,103.1915,594,20.38,5.24,0.857
124.0000,104.0000,105.0686,598,20.38,5.22,0.866
121.0000,105.0000,106.3485,610,20.38,5.22,0.873
119.0000,107.0000,107.4749,612,20.38,5.20,0.881
114.0000,106.0000,108.2541,620,20.38,5.22,0.888
109.0000,109.0000,108.6959,618,20.38,5.22,0.896
115.0000,107.0000,108.7192,622,20.38,5.04,0.904
115.0000,109.0000,109.1439,621,20.38,4.86,0.911
105.0000,108.0000,109.5941,627,20.38,4.68,0.919
94.0000,108.0000,109.2835,621,20.38,4.56,0.926
85.0000,106.0000,108.1084,625,20.38,4.50,0.934
74.0000,105.0000,106.5462,609,20.38,4.42,0.941
64.0000,103.0000,103.7450,594,20.38,4.36,0.950
55.0000,100.0000,101.0579,583,20.38,4.30,0.957
38.0000,100.0000,97.9441,564,20.38,4.16,0.964
22.0000,94.0000,93.3355,544,20.38,4.02,0.972
8.0000,89.0000,88.5128,516,20.38,3.84,0.979
3.0000,84.0000,83.0696,487,20.38,3.74,0.986
2.0000,79.0000,76.1781,456,20.38,3.56,0.995
8.0000,74.0000,71.1632,428,20.38,3.42,1.002
23.0000,70.0000,66.8930,406,20.40,3.24,1.009
52.0000,67.0000,63.5183,390,20.38,2.94,1.017
70.0000,67.0000,62.7396,391,20.38,2.60,1.024
58.0000,66.0000,63.2978,392,20.38,2.28,1.032
46.0000,67.0000,62.8905,389,20.40,2.10,1.040
32.0000,65.0000,61.7486,384,20.38,1.94,1.047
27.0000,63.0000,59.7374,371,20.38,1.84,1.054
24.0000,61.0000,57.2204,357,20.38,1.72,1.062
24.0000,59.0000,54.9745,347,20.38,1.60,1.069
30.0000,57.0000,52.5931,335,20.38,1.46,1.077
41.0000,56.0000,50.8560,326,20.38,1.32,1.085
48.0000,55.0000,50.1897,324,20.38,1.28,1.092
59.0000,54.0000,50.0416,322,20.38,1.20,1.099
68.0000,57.0000,50.7304,324,20.38,1.16,1.107
76.0000,56.0000,51.8979,341,20.38,1.12,1.114
82.0000,57.0000,53.7510,342,20.38,1.10,1.122
93.0000,60.0000,55.9229,348,20.38,1.02,1.130
105.0000,62.0000,58.4295,374,20.36,0.92,1.137
123.0000,64.0000,61.5779,380,20.38,0.76,1.144
134.0000,69.0000,66.3004,399,20.38,0.60,1.152
129.0000,73.0000,71.5053,430,20.38,0.30,1.160
102.0000,75.0000,75.3923,447,20.38,0.00,1.167
100.0000,78.0000,77.4380,453,20.38,0.00,1.175
99.0000,79.0000,78.9633,474,20.38,0.00,1.182
96.0000,80.0000,80.3179,469,20.38,0.00,1.189
94.0000,82.0000,81.3781,474,20.38,0.00,1.196
89.0000,82.0000,82.4645,476,20.38,0.00,1.205
83.0000,82.0000,82.9063,487,20.40,0.00,1.212
81.0000,82.0000,82.9127,481,20.38,0.00,1.219
76.0000,81.0000,82.7834,478,20.38,0.00,1.226
71.0000,82.0000,82.2618,476,20.38,0.00,1.234
66.0000,81.0000,81.5005,469,20.38,0.00,1.241
60.0000,80.0000,80.3087,467,20.38,0.00,1.249
54.0000,79.0000,78.9357,459,20.40,0.00,1.256
51.0000,76.0000,77.0186,449,20.38,0.00,1.264
45.0000,76.0000,75.2596,439,20.40,0.00,1.271
43.0000,73.0000,73.2138,431,20.38,0.00,1.278
40.0000,72.0000,71.1712,418,20.38,0.00,1.285
37.0000,69.0000,68.7746,407,20.38,0.00,1.293
35.0000,68.0000,66.3317,395,20.38,0.00,1.301
34.0000,66.0000,64.2135,383,20.38,0.00,1.308
34.0000,64.0000,62.1709,374,20.38,0.00,1.315
34.0000,62.0000,60.2663,363,20.38,0.00,1.322
35.0000,61.0000,58.0056,353,20.38,0.00,1.331
35.0000,59.0000,56.4503,344,20.34,0.00,1.338
40.0000,57.0000,55.0001,337,20.38,0.00,1.345
43.0000,57.0000,53.9860,331,20.38,0.00,1.352
46.0000,55.0000,53.2433,327,20.38,0.00,1.359
51.0000,56.0000,52.6864,323,20.38,0.00,1.367
56.0000,55.0000,52.5567,332,20.38,0.00,1.375
61.0000,55.0000,52.7895,326,20.38,0.00,1.382
63.0000,55.0000,53.3446,328,20.36,0.00,1.389
71.0000,57.0000,54.0869,330,20.38,0.00,1.397
71.0000,58.0000,55.2304,335,20.34,0.00,1.404
80.0000,58.0000,56.2965,343,20.38,0.00,1.411
85.0000,60.0000,58.1189,351,20.38,0.00,1.419
89.0000,63.0000,59.9362,360,20.38,0.00,1.426
93.0000,63.0000,62.1708,369,20.38,0.00,1.434
96.0000,65.0000,64.2550,390,20.38,0.00,1.441
99.0000,67.0000,66.4012,396,20.38,0.00,1.448
100.0000,68.0000,68.6051,405,20.38,0.00,1.455
102.0000,72.0000,71.3072,415,20.38,0.00,1.464
102.0000,73.0000,73.3822,437,20.38,0.00,1.471
101.0000,74.0000,75.3169,439,20.40,0.00,1.478
100.0000,78.0000,77.2915,446,20.38,0.00,1.486
99.0000,78.0000,78.8268,453,20.36,0.00,1.493
95.0000,79.0000,80.3778,465,20.38,0.00,1.501
92.0000,80.0000,81.3663,467,20.38,0.00,1.508
88.0000,83.0000,82.0852,471,20.38,0.00,1.515
81.0000,82.0000,82.5400,472,20.40,0.00,1.523
79.0000,81.0000,82.4359,482,20.38,0.00,1.530
74.0000,80.0000,82.2036,473,20.38,0.00,1.537
69.0000,80.0000,81.5729,468,20.38,0.00,1.545
63.0000,80.0000,80.6062,463,20.38,0.00,1.553
58.0000,79.0000,79.4159,455,20.38,0.00,1.560
54.0000,77.0000,77.9681,451,20.38,0.00,1.567
50.0000,76.0000,76.3477,441,20.38,0.00,1.574
45.0000,75.0000,74.3220,431,20.38,0.00,1.582
41.0000,72.0000,72.0676,420,20.38,0.00,1.590
38.0000,70.0000,69.9673,412,20.38,0.00,1.597
36.0000,68.0000,67.8061,399,20.38,0.00,1.604
35.0000,66.0000,65.6558,388,20.38,0.00,1.611
34.0000,64.0000,63.2988,376,20.38,0.00,1.619
34.0000,63.0000,61.3180,365,20.38,0.00,1.626
34.0000,61.0000,59.2178,358,20.38,0.00,1.634
36.0000,59.0000,57.5128,347,20.38,0.00,1.641
38.0000,58.0000,55.8589,340,20.38,0.00,1.649
38.0000,57.0000,54.6515,333,20.34,0.00,1.656
44.0000,56.0000,53.5258,329,20.38,0.00,1.663
48.0000,55.0000,52.7934,325,20.38,0.00,1.671
53.0000,57.0000,52.4693,323,20.38,0.00,1.678
58.0000,55.0000,52.5101,323,20.38,0.00,1.686
62.0000,55.0000,52.8813,329,20.38,0.00,1.693
67.0000,56.0000,53.4977,330,20.38,0.00,1.700
72.0000,56.0000,54.4106,333,20.38,0.00,1.707
78.0000,58.0000,55.9245,338,20.38,0.00,1.716
83.0000,60.0000,57.4169,345,20.38,0.00,1.723
89.0000,60.0000,59.1465,358,20.40,0.00,1.730
91.0000,62.0000,61.1648,367,20.38,0.00,1.737
95.0000,65.0000,63.4586,376,20.38,0.00,1.745
96.0000,66.0000,65.5910,385,20.36,0.00,1.752
100.0000,68.0000,67.9290,411,20.38,0.00,1.760
101.0000,70.0000,70.0972,413,20.38,0.00,1.767
102.0000,74.0000,72.4731,422,20.38,0.00,1.775
102.0000,74.0000,74.4693,430,20.34,0.00,1.782
101.0000,76.0000,76.3306,445,20.38,0.00,1.789
99.0000,76.0000,77.9984,452,20.38,0.00,1.796
97.0000,79.0000,79.8059,457,20.38,0.00,1.805
97.0000,80.0000,80.9684,462,20.34,0.00,1.812
90.0000,80.0000,82.0522,474,20.38,0.00,1.819
87.0000,80.0000,82.5895,474,20.38,0.00,1.826
82.0000,84.0000,82.9286,474,20.38,0.00,1.834
76.0000,82.0000,82.8572,472,20.38,0.00,1.842
72.0000,81.0000,82.3936,475,20.38,0.00,1.849
67.0000,80.0000,81.6910,469,20.38,0.00,1.856
62.0000,79.0000,80.6978,463,20.38,0.00,1.863
57.0000,79.0000,79.2602,455,20.38,0.00,1.871
52.0000,77.0000,77.7553,447,20.38,0.00,1.878
47.0000,76.0000,75.7751,441,20.38,0.00,1.886
44.0000,74.0000,73.8298,430,20.38,0.00,1.893
40.0000,72.0000,71.5363,419,20.38,0.00,1.901
40.0000,70.0000,69.4043,408,20.34,0.00,1.908
37.0000,69.0000,67.4164,400,20.36,0.00,1.915
43.0000,66.0000,65.3600,389,20.24,0.00,1.922
51.0000,65.0000,63.6409,380,20.12,0.00,1.930
64.0000,63.0000,62.6690,374,19.98,0.00,1.938
100.0000,64.0000,62.7590,375,19.60,0.00,1.945
102.0000,67.0000,65.2767,396,19.48,0.00,1.952
87.0000,68.0000,67.7594,407,19.20,0.00,1.959
51.0000,71.0000,69.2388,411,18.88,0.00,1.967
35.0000,69.0000,67.8365,402,18.66,0.00,1.975
48.0000,67.0000,65.6166,390,18.36,0.04,1.982
90.0000,65.0000,64.4256,383,18.16,0.24,1.989
116.0000,67.0000,66.3919,392,17.96,0.48,1.997
115.0000,70.0000,69.7456,417,17.72,0.68,2.004
91.0000,76.0000,73.6407,430,17.58,0.86,2.013
58.0000,75.0000,74.8143,433,17.34,1.02,2.020
18.0000,73.0000,73.6775,428,17.04,1.22,2.027
13.0000,70.0000,69.9134,405,16.86,1.36,2.034
41.0000,65.0000,65.5377,385,16.60,1.58,2.042
103.0000,64.0000,63.8788,377,16.18,1.70,2.049
134.0000,68.0000,67.2461,391,15.86,1.86,2.058
86.0000,72.0000,71.7590,426,15.36,2.02,2.065
58.0000,73.0000,72.7218,425,15.02,2.12,2.072
71.0000,72.0000,71.5900,417,14.70,2.22,2.080
69.0000,71.0000,71.5501,420,14.44,2.46,2.087
68.0000,71.0000,71.3777,417,14.18,2.64,2.094
54.0000,72.0000,71.0869,415,13.90,2.82,2.103
46.0000,70.0000,69.9318,411,13.64,3.02,2.110
49.0000,69.0000,68.3138,400,13.40,3.16,2.117
77.0000,67.0000,66.8289,393,13.12,3.32,2.125
110.0000,68.0000,67.5166,401,12.86,3.50,2.132
124.0000,70.0000,70.7828,415,12.54,3.62,2.140
87.0000,75.0000,74.8743,433,12.28,3.80,2.148
22.0000,75.0000,75.6941,440,11.90,3.94,2.155
1.0000,71.0000,72.0640,417,11.76,4.12,2.162
3.0000,67.0000,66.6001,389,11.60,4.22,2.170
32.0000,62.0000,62.3004,364,11.38,4.34,2.177
88.0000,60.0000,59.9708,354,11.02,4.44,2.185
110.0000,63.0000,62.1258,366,10.82,4.56,2.193
108.0000,66.0000,65.3623,390,10.56,4.72,2.200
85.0000,68.0000,68.2449,404,10.34,4.82,2.207
66.0000,70.0000,69.5332,407,10.08,4.92,2.215
76.0000,70.0000,69.2943,408,9.82,4.98,2.222
98.0000,69.0000,69.8098,410,9.56,5.08,2.230
94.0000,72.0000,71.9772,419,9.42,5.20,2.238
93.0000,73.0000,73.4661,433,9.26,5.24,2.245
73.0000,74.0000,74.7867,437,9.04,5.30,2.252
40.0000,77.0000,74.6493,434,8.82,5.34,2.260
18.0000,72.0000,71.9852,420,8.66,5.36,2.268
4.0000,68.0000,68.3355,400,8.48,5.40,2.275
1.0000,64.0000,63.9860,376,8.40,5.44,2.282
1.0000,60.0000,59.1435,352,8.36,5.48,2.290
15.0000,57.0000,55.2127,330,8.18,5.52,2.297
27.0000,54.0000,52.4940,317,8.10,5.58,2.304
54.0000,52.0000,50.5340,307,7.94,5.64,2.312
76.0000,53.0000,50.8005,309,7.78,5.68,2.320
87.0000,54.0000,52.5042,324,7.70,5.72,2.327
93.0000,56.0000,54.8363,335,7.60,5.74,2.334
89.0000,60.0000,57.7705,347,7.38,5.80,2.342
82.0000,61.0000,59.8818,365,7.26,5.84,2.349
82.0000,62.0000,61.5823,368,7.22,5.86,2.357
89.0000,63.0000,62.9626,373,7.20,5.92,2.364
71.0000,66.0000,64.9645,381,6.94,6.06,2.372
72.0000,66.0000,65.3725,386,6.70,6.14,2.379
87.0000,67.0000,65.8206,387,6.46,6.30,2.386
95.0000,68.0000,67.4489,393,6.10,6.48,2.394
74.0000,69.0000,69.5671,415,5.90,6.56,2.402
19.0000,69.0000,69.8668,407,5.58,6.68,2.409
5.0000,68.0000,66.4279,385,5.30,6.88,2.416
43.0000,62.0000,61.7052,362,5.06,7.02,2.424
84.0000,61.0000,60.4406,358,4.94,7.18,2.431
125.0000,62.0000,62.2520,368,4.70,7.28,2.439
122.0000,67.0000,67.0763,391,4.42,7.54,2.447
90.0000,70.0000,70.7894,418,4.22,7.58,2.454
41.0000,71.0000,72.0882,420,3.90,7.70,2.461
43.0000,70.0000,69.6980,406,3.62,7.80,2.469
51.0000,68.0000,67.8931,394,3.42,7.96,2.476
68.0000,66.0000,66.5943,390,3.18,8.10,2.484
51.0000,66.0000,66.6893,391,2.82,8.26,2.491
41.0000,66.0000,65.4830,384,2.56,8.40,2.499
66.0000,64.0000,63.8278,377,2.28,8.54,2.506
99.0000,64.0000,63.9747,377,2.10,8.66,2.513
110.0000,67.0000,66.6675,389,1.96,8.86,2.521
103.0000,69.0000,69.9990,417,1.86,8.98,2.529
84.0000,71.0000,72.2301,420,1.68,9.12,2.536
65.0000,73.0000,73.1351,423,1.60,9.24,2.544
49.0000,72.0000,72.5851,418,1.48,9.36,2.551
48.0000,70.0000,70.9906,412,1.42,9.46,2.558
56.0000,69.0000,69.4363,403,1.34,9.60,2.565
69.0000,69.0000,68.2799,398,1.28,9.72,2.574
76.0000,68.0000,68.3285,403,1.18,9.94,2.581
65.0000,69.0000,68.8472,405,1.10,10.04,2.588
36.0000,71.0000,68.5514,402,1.00,10.24,2.596
32.0000,67.0000,66.3506,392,0.88,10.30,2.603
27.0000,65.0000,63.7096,380,0.76,10.44,2.611
34.0000,62.0000,60.8873,363,0.68,10.56,2.619
50.0000,60.0000,59.0695,356,0.64,10.70,2.626
81.0000,60.0000,58.4564,351,0.60,10.86,2.633
104.0000,62.0000,60.1896,359,0.56,10.96,2.641
119.0000,65.0000,63.1514,383,0.54,11.06,2.648
123.0000,68.0000,67.4455,399,0.52,11.20,2.656
123.0000,72.0000,71.7167,416,0.48,11.24,2.664
112.0000,74.0000,75.1837,440,0.48,11.32,2.671
94.0000,79.0000,78.0143,451,0.48,11.42,2.679
79.0000,78.0000,79.0950,460,0.48,11.50,2.686
67.0000,78.0000,79.0886,456,0.48,11.58,2.693
62.0000,79.0000,78.1592,448,0.48,11.62,2.701
60.0000,76.0000,76.9167,441,0.48,11.68,2.709
62.0000,75.0000,75.7731,438,0.48,11.74,2.716
69.0000,76.0000,74.8419,432,0.48,11.80,2.723
111.0000,74.0000,74.3928,429,0.50,12.08,2.731
124.0000,76.0000,77.2072,448,0.48,12.16,2.739
128.0000,81.0000,80.8048,464,0.48,12.24,2.747
127.0000,83.0000,83.9955,489,0.48,12.20,2.754
126.0000,85.0000,86.9030,500,0.48,12.14,2.761
126.0000,89.0000,89.9089,511,0.48,12.12,2.769
126.0000,91.0000,92.3489,530,0.48,12.24,2.776
103.0000,95.0000,95.2451,538,0.50,12.40,2.785
96.0000,93.0000,95.7694,553,0.48,12.44,2.792
106.0000,93.0000,95.7850,542,0.48,12.36,2.799
96.0000,95.0000,96.5704,544,0.48,12.40,2.807
127.0000,94.0000,96.5318,549,0.48,12.10,2.814
62.0000,95.0000,98.5917,558,0.48,20.44,2.821
127.0000,94.0000,95.4423,541,0.48,12.04,2.830
114.0000,96.0000,97.5758,560,0.48,12.20,2.837
106.0000,98.0000,98.6862,562,0.48,12.24,2.844
57.0000,98.0000,99.2485,575,0.50,20.46,2.852
61.0000,95.0000,96.3923,551,0.48,20.46,2.859
61.0000,93.0000,93.3460,537,0.48,20.42,2.868
124.0000,91.0000,91.1592,529,0.48,12.00,2.875
121.0000,92.0000,93.3794,541,0.48,12.02,2.882
109.0000,95.0000,95.5030,548,0.48,12.10,2.890
94.0000,96.0000,96.4155,559,0.48,12.18,2.897
113.0000,95.0000,96.2522,554,0.48,12.04,2.904
87.0000,97.0000,97.6937,559,0.48,12.18,2.913
93.0000,96.0000,96.9707,557,0.46,12.14,2.920
113.0000,98.0000,96.7023,554,0.48,11.98,2.927
105.0000,97.0000,97.9553,571,0.50,12.00,2.935
101.0000,97.0000,98.4316,567,0.48,12.02,2.942
98.0000,98.0000,98.6526,565,0.48,12.02,2.951
99.0000,98.0000,98.6085,570,0.50,11.98,2.958
95.0000,97.0000,98.6350,567,0.48,12.00,2.965
89.0000,98.0000,98.3555,563,0.48,12.02,2.973
83.0000,97.0000,97.7230,565,0.50,12.02,2.980
83.0000,96.0000,96.7276,557,0.50,12.00,2.987
97.0000,95.0000,95.5461,549,0.50,11.90,2.996
90.0000,95.0000,95.6444,556,0.50,11.92,3.003
110.0000,95.0000,95.2628,551,0.50,11.78,3.010
116.0000,96.0000,96.3959,555,0.50,11.70,3.018
98.0000,97.0000,97.7213,569,0.50,11.82,3.025
58.0000,97.0000,97.7401,565,0.50,12.28,3.032
58.0000,95.0000,94.3198,548,0.50,12.26,3.041
116.0000,92.0000,91.8644,537,0.50,11.40,3.048
119.0000,93.0000,93.4961,546,0.50,11.42,3.055
121.0000,96.0000,95.4569,552,0.50,11.48,3.063
116.0000,97.0000,97.1838,568,0.50,11.58,3.070
107.0000,100.0000,98.8033,571,0.50,11.26,3.079
119.0000,99.0000,99.3574,587,0.50,11.50,3.086
105.0000,100.0000,100.6854,582,0.52,11.24,3.093
121.0000,101.0000,101.0171,581,0.50,11.40,3.101
121.0000,102.0000,102.3681,592,0.50,12.60,3.108
118.0000,104.0000,103.8005,596,0.50,11.28,3.116
62.0000,104.0000,104.8923,605,0.50,10.58,3.124
52.0000,102.0000,101.5946,585,0.52,10.80,3.132
57.0000,98.0000,98.2417,569,0.52,10.84,3.139
80.0000,95.0000,95.4536,553,0.52,10.40,3.146
73.0000,95.0000,94.2654,548,0.52,10.42,3.154
85.0000,94.0000,92.8278,544,0.52,10.34,3.161
95.0000,93.0000,92.2259,540,0.52,10.26,3.169
113.0000,93.0000,92.4392,538,0.52,10.10,3.177
116.0000,94.0000,93.8292,552,0.52,9.96,3.184
98.0000,95.0000,95.3281,558,0.54,9.80,3.191
84.0000,97.0000,95.5335,556,0.52,9.68,3.199
69.0000,95.0000,94.6468,556,0.52,9.58,3.207
54.0000,94.0000,92.9129,545,0.52,9.46,3.214
50.0000,92.0000,89.9210,528,0.52,9.26,3.222
67.0000,89.0000,87.2221,520,0.54,9.08,3.229
89.0000,87.0000,85.8550,508,0.52,8.96,3.236
110.0000,87.0000,86.0676,509,0.52,8.80,3.243
115.0000,89.0000,88.1274,516,0.52,8.68,3.252
101.0000,91.0000,89.9442,531,0.52,8.48,3.259
82.0000,91.0000,90.6916,532,0.52,8.36,3.266
61.0000,91.0000,90.0234,527,0.52,8.22,3.274
50.0000,89.0000,88.0611,518,0.52,8.12,3.281
47.0000,86.0000,85.4879,502,0.52,8.00,3.288
50.0000,84.0000,82.1754,487,0.52,7.92,3.297
60.0000,82.0000,80.0001,484,0.54,7.80,3.304
82.0000,80.0000,78.6480,470,0.52,7.68,3.311
105.0000,80.0000,78.8746,470,0.54,7.50,3.318
113.0000,83.0000,80.8832,479,0.52,7.32,3.326
99.0000,84.0000,83.0545,496,0.52,7.18,3.333
80.0000,85.0000,84.2805,499,0.54,7.08,3.341
47.0000,86.0000,83.9514,495,0.54,6.86,3.349
42.0000,83.0000,81.4533,482,0.54,6.74,3.356
57.0000,80.0000,78.7860,466,0.52,6.58,3.363
71.0000,81.0000,77.1110,458,0.54,6.46,3.371
100.0000,78.0000,76.6412,454,0.54,6.28,3.379
84.0000,80.0000,78.2205,469,0.54,5.88,3.386
71.0000,79.0000,78.6112,469,0.54,5.80,3.393
59.0000,80.0000,78.0261,464,0.52,5.70,3.401
44.0000,78.0000,76.7398,458,0.54,5.60,3.408
43.0000,76.0000,74.5264,445,0.54,5.58,3.415
41.0000,75.0000,71.8130,431,0.54,5.54,3.424
45.0000,72.0000,69.7299,419,0.54,5.40,3.431
49.0000,71.0000,68.0580,413,0.54,5.36,3.438
44.0000,69.0000,66.7695,405,0.56,5.36,3.445
61.0000,68.0000,65.0189,396,0.66,5.14,3.453
68.0000,68.0000,64.7472,399,0.86,4.88,3.460
67.0000,68.0000,64.9972,399,1.04,4.70,3.468
72.0000,70.0000,65.1326,397,1.12,4.64,3.475
66.0000,69.0000,65.6606,399,1.24,4.48,3.483
62.0000,68.0000,65.6836,401,1.32,4.32,3.490
69.0000,68.0000,65.4345,398,1.36,4.20,3.497
80.0000,69.0000,65.7414,398,1.42,4.12,3.506
82.0000,69.0000,66.7054,416,1.62,4.00,3.513
78.0000,70.0000,67.7394,411,1.84,3.74,3.520
65.0000,71.0000,68.4331,413,1.98,3.62,3.527
31.0000,70.0000,68.1691,409,2.10,3.36,3.535
37.0000,68.0000,65.6563,395,2.22,3.28,3.542
50.0000,65.0000,63.4531,383,2.32,3.22,3.550
78.0000,65.0000,62.4187,377,2.50,3.26,3.558
63.0000,66.0000,63.4721,394,2.64,3.14,3.565
52.0000,65.0000,63.4402,385,2.72,3.10,3.572
25.0000,64.0000,62.6668,380,2.88,3.02,3.579
3.0000,63.0000,59.7709,364,3.04,3.16,3.587
