V_in,V_real,V_theoretical,V_output,omega_1,omega_2,time
42.0000,74.0000,68.2000,435,20.38,5.22,0.000
36.0000,72.0000,66.1856,421,20.38,5.22,0.008
30.0000,70.0000,63.8648,407,20.38,5.22,0.016
25.0000,67.0000,61.5754,394,20.38,5.22,0.023
20.0000,65.0000,59.1026,378,20.38,5.22,0.030
13.0000,62.0000,56.0963,362,20.40,5.22,0.038
11.0000,59.0000,53.1828,346,20.38,5.22,0.045
7.0000,56.0000,49.9395,328,20.38,5.22,0.053
4.0000,53.0000,46.6382,310,20.38,5.22,0.061
2.0000,50.0000,43.7556,294,20.38,5.22,0.068
0.0000,47.0000,40.9327,276,20.38,5.22,0.075
0.0000,44.0000,38.1653,259,20.36,5.22,0.082
0.0000,41.0000,35.2311,244,20.38,5.22,0.090
1.0000,39.0000,32.5224,229,20.38,5.24,0.098
3.0000,36.0000,30.3912,216,20.38,5.22,0.105
6.0000,34.0000,28.5394,203,20.38,5.22,0.112
8.0000,33.0000,26.8065,194,20.36,5.22,0.120
13.0000,31.0000,25.5351,188,20.38,5.18,0.127
18.0000,30.0000,24.5713,183,20.38,5.22,0.135
23.0000,30.0000,24.0661,180,20.38,5.22,0.143
28.0000,29.0000,23.9940,179,20.38,5.22,0.150
33.0000,30.0000,24.2649,180,20.38,5.22,0.157
39.0000,30.0000,24.9365,181,20.38,5.22,0.165
44.0000,31.0000,25.8872,187,20.38,5.22,0.172
50.0000,31.0000,27.2798,192,20.38,5.22,0.180
54.0000,33.0000,29.0266,199,20.38,5.16,0.188
60.0000,34.0000,30.7150,209,20.38,5.22,0.195
64.0000,36.0000,32.6948,218,20.38,5.22,0.202
68.0000,39.0000,35.1017,228,20.38,5.22,0.210
71.0000,40.0000,37.3258,244,20.38,5.22,0.217
73.0000,42.0000,39.9148,252,20.38,5.22,0.225
75.0000,45.0000,42.4586,262,20.38,5.22,0.233
75.0000,46.0000,44.6585,277,20.40,5.22,0.240
76.0000,48.0000,46.7098,284,20.38,5.22,0.247
75.0000,50.0000,48.9617,294,20.38,5.22,0.255
73.0000,51.0000,50.9637,305,20.38,5.22,0.263
73.0000,52.0000,52.4535,311,20.38,5.24,0.270
69.0000,54.0000,54.0331,317,20.38,5.22,0.278
66.0000,55.0000,55.0450,325,20.38,5.22,0.285
63.0000,55.0000,55.7856,327,20.38,5.22,0.292
